Tiempo;Trayectoria 1;Trayectoria 2;Trayectoria 3;Trayectoria 4;Trayectoria 5;Trayectoria 6;Trayectoria 7;Trayectoria 8;Trayectoria 9;Trayectoria 10;Semilla
0,26;-0,03658553451941049;-0,45325753398779217;-0,39358919476564375;0,18961656212028277;-0,11205741978058517;-0,5284864261524296;0,5232869885156826;-0,6829399263132716;0,5749668086743394;0,5783679550908091;709626436
0,27;-0,17000609932862315;-0,33169731652348694;-0,3343126928827312;0,40489152476034934;-0,18498496498667677;-0,5882487158813147;0,45937745372460587;-0,6522565712386418;0,7434628797901711;0,4522729293757104;709626436
0,28;-0,4629020776117771;-0,29742575097668844;-0,3012479545559807;0,3127910945852353;-0,2177332517837556;-0,5839346146793062;0,29194531530897083;-0,7655482103998406;0,7826372761870214;0,5279860287618351;709626436
0,29;-0,5025682829877358;-0,42928397062579887;-0,399099151076653;0,40334754696964525;-0,36309588941634163;-0,7315735570581667;0,38005120893095923;-0,7592125269049655;0,7968426483910682;0,5591905365505756;709626436
0,3;-0,5958878300434428;-0,35511471248135706;-0,2680964905747729;0,5052072065002415;-0,2726345747581782;-0,6320555853539724;0,48616334712887377;-0,65463927916196;0,6168126296506332;0,5970297148044816;709626436
0,31;-0,7474377040187844;-0,4444574500416593;-0,3068497703781767;0,39888573623807205;-0,41788715987062125;-0,6330489024121518;0,4565249178879181;-0,766691763846001;0,6573917308903949;0,6398024635861406;709626436
0,32;-0,7081787034511284;-0,4962289799833045;-0,22175523852998125;0,40223780672479137;-0,5373746820273626;-0,5312059897463347;0,4896293460004569;-0,7421896608485227;0,7118434886526666;0,6390256831157476;709626436
0,33;-0,5994376218592508;-0,5223324992978275;-0,1808685631524482;0,4668432306268;-0,4209140941931722;-0,33891452396623933;0,5439639867684051;-0,8231377450340861;0,6559281215313179;0,6393983535660207;709626436
0,34;-0,5201075302719709;-0,5481258096234367;-0,28334915793087906;0,3908780667578147;-0,5111644388794208;-0,30392891143993317;0,5675308358891791;-0,9304189016541262;0,583632572366032;0,5158432693473746;709626436
0,35000000000000003;-0,4735173331242753;-0,593725613080397;-0,17933663957121554;0,3280768875922616;-0,5000420336700463;-0,20055657105355307;0,6129536508739156;-0,7959141177824209;0,6091643401430091;0,44462055896360003;709626436
0,36;-0,4460394500178274;-0,4562517214836491;-0,3226691021871654;0,38311746625769516;-0,3869870774708121;-0,11715206047603838;0,7927502067652;-0,824898782860516;0,6471512006339457;0,6086764459303908;709626436
0,37;-0,6359380966069756;-0,533366130295192;-0,31567650288070764;0,275469366628375;-0,31590934085384687;-0,16893099649548932;0,9601389702791594;-0,8261205055735856;0,5329681233120481;0,5027960976570305;709626436
0,38;-0,6398491833482733;-0,5312362043881527;-0,545702922213636;0,30859764056176353;-0,23332253819144455;-0,059910866216633316;0,8355466995579814;-0,863687016288943;0,6036827381707636;0,31294246779405005;709626436
0,39;-0,578700751079521;-0,583724969384945;-0,6909647711307504;0,24259639919025033;-0,3131116276742422;0,010044474557752536;0,8958277114202943;-0,8756530349571915;0,7081880350719704;0,28286755322635476;709626436
0,4;-0,6015296302765721;-0,41857592065371185;-0,6536063017132844;0,16174344468973473;-0,3654225620437687;0,07925971195897491;0,7903359387273681;-0,840017717232215;0,573915704712066;0,26749611933349304;709626436
0,41000000000000003;-0,5390100827208347;-0,5106565187375898;-0,706320392365268;0,2943821371361295;-0,3463353735456577;0,07856169367459119;0,628651443257238;-0,5891935956858491;0,5889793178512466;0,1348218079254059;709626436
0,42;-0,6314768066480971;-0,4654704139620899;-0,8984742945654413;0,36657398296481947;-0,39636053390143877;0,20867905868189324;0,5425544871993541;-0,6444355720503591;0,8559580154329431;0,0387085275854081;709626436
0,43;-0,6144514872883621;-0,5094333514877787;-0,9420465268945619;0,3253771780845543;-0,4936100629637731;0,20699660311739215;0,5911217427155537;-0,6385546568258869;0,7362810024127849;0,1636325373741459;709626436
0,44;-0,7180936238995969;-0,49888073472292743;-0,8316877526606088;0,4829630182469311;-0,4605298371120796;0,13868746428393308;0,5528533707832975;-0,7660457556306141;0,6814164783259202;0,18719333044979067;709626436
0,45;-0,8463460687247236;-0,2467748637471155;-0,7934144745171468;0,4999886686097712;-0,35969682439596046;-0,002605953642561082;0,5600813368478865;-0,7586246754731485;0,450545040540286;0,14112028381887515;709626436
0,46;-0,935950178981237;-0,2379855389539747;-0,8715974737465094;0,4954660239358822;-0,2826854607533441;-0,043693903673625266;0,6162768546431187;-0,6958026894482836;0,47423135142333445;0,011591042832137827;709626436
0,47000000000000003;-0,8651544335340502;-0,20813939999020237;-1,011625027562361;0,5946614947386968;-0,4848772354430384;-0,12987178879429975;0,5962969794243632;-0,8022593278762182;0,47643585158100465;0,042337201901869057;709626436
0,48;-1,0783401286923686;-0,13913932726495748;-1,0175461276412963;0,5194973431781499;-0,3258756100831536;-0,3787323395636552;0,6015679296984437;-0,8460400249365925;0,48044555084826035;-0,04229230446562281;709626436
0,49;-1,0886718601117238;-0,12441768668447256;-1,1931069874977398;0,547034270391758;-0,3255746824159017;-0,3077429934070636;0,6074947727345986;-0,9075934611642062;0,5604759916180656;0,06529390652107737;709626436
0,5;-1,1199613618913897;-0,14489758942306696;-1,3775672285903238;0,6863576176801566;-0,24089949869207236;-0,44159391291389805;0,6762020908509478;-0,9742458137847448;0,6230942521102951;-0,054180163486569;709626436
0,51;-1,1868988121178987;-0,11532975610607477;-1,297223610708451;0,6067093940606143;-0,29596801285588276;-0,5783535644653249;0,6494858152841496;-1,053161645573184;0,5588909236444467;0,013677983738710472;709626436
0,52;-1,1278444402873555;-0,10689609681148615;-1,3719153093672056;0,5806081886438044;-0,29639858375969963;-0,6393200198329632;0,5998495155551834;-1,0846012773479998;0,7425660531883597;0,2319516994700762;709626436
0,53;-1,067935667290541;-0,15059887654199144;-1,405986938848187;0,41701618904046545;-0,2709333933270649;-0,6182176425041588;0,603199085935921;-1,0801115339204168;0,8724501378061669;0,16673271130428824;709626436
0,54;-1,11195200906086;-0,09886532452974023;-1,3500966261115082;0,39940067519884676;-0,3203967144964305;-0,5604576449727557;0,743080315062573;-1,3188965483585462;0,8037301568083689;0,2177197975357159;709626436
0,55;-1,1235802747558703;-0,08007261809765115;-1,4409714882352742;0,21285572650871104;-0,3888966078618081;-0,461392796658335;0,8470647895086092;-1,3564960306257412;0,7316612723453931;0,21285061601808258;709626436
0,56;-1,2257744874405436;-0,2607386147153162;-1,4843651468762187;0,06512747259034832;-0,30378199969174713;-0,5390234639686197;0,874324778165771;-1,235283937444108;0,7102943524699001;0,04457060224570994;709626436
0,5700000000000001;-1,2390857988499693;-0,22955881030154301;-1,4319953762296886;0,11798658385627858;-0,31324959023986676;-0,545968784449817;0,843045037000988;-1,4805542202527995;0,6320129899720703;-0,03315555536276324;709626436
0,58;-1,1817220578345804;-0,2282491780636033;-1,6059918634945893;0,2022974762027975;-0,4187925514402859;-0,5558913720876993;0,8353932620638931;-1,4192796578099938;0,37636925849923736;-0,0012901287460229671;709626436
0,59;-1,2269887045710548;-0,06204016716539376;-1,645522517608299;0,3133719520768524;-0,3720165588152239;-0,6810778082776394;0,9075743645033699;-1,3714151599868472;0,5881039312004552;-0,03287455661104059;709626436
0,6;-1,160079018922536;-0,17585426009033786;-1,6455322270581534;0,27809819470789876;-0,5196358436163466;-0,6080287505316981;0,96900977146033;-1,4745330947115447;0,6500820700346818;0,06974594036894387;709626436
0,61;-1,1706324753435087;-0,1910296340834178;-1,3353717002253438;0,2234849057206254;-0,5058519790939885;-0,7744670441383186;0,7552299999069562;-1,5961122915917898;0,7154267771565654;0,19876703804012225;709626436
0,62;-1,181644320878463;-0,3738478338962523;-1,1934179504555884;0,19567676853907545;-0,5018946418333988;-0,6452662326251666;0,8835111835946774;-1,6079028151775512;1,0024619112555224;-0,02447703305592619;709626436
0,63;-1,1731704934086904;-0,14812320317580177;-1,0232095938338444;-0,06634463692248349;-0,45122658267520194;-0,7978919302634471;0,9427198884983211;-1,5614907183066495;0,7916483728135395;0,016960681122926827;709626436
0,64;-1,024014515913515;-0,2353736855225927;-0,8746909412742416;-0,2197378365191363;-0,5645497066950832;-0,8016216134313554;1,0164127800217466;-1,4785985185486943;0,7798825303525265;-0,0670067700484609;709626436
0,65;-0,9326140058522752;-0,1783390567100176;-0,8306073454263185;-0,1477435865027789;-0,733538202402189;-0,7382510926746075;1,0306879240660183;-1,4534207931394345;0,5889952776767869;-0,06406742287827606;709626436
0,66;-0,882084819768658;-0,24010542402336127;-0,9365810171589689;-0,1787561472344926;-0,7496159770165371;-0,7143605771300383;1,101406235453426;-1,4951826063596636;0,4904166913676545;-0,04899244819411954;709626436
0,67;-0,9173072623932816;-0,2354983152307573;-1,032262452155952;-0,1738588909968191;-0,7372544365823255;-0,5802415619963891;1,1619372998978192;-1,4900471922252185;0,4376326173167937;-0,15876842995897122;709626436
0,68;-0,8158434707135612;-0,25725317789018737;-1,064776257180107;-0,18954220287090998;-0,6687612803926148;-0,5652313818450336;1,0311977178291856;-1,5047926663891074;0,384704356669353;-0,010861150335856024;709626436
0,6900000000000001;-0,812383398925719;-0,3209025331677297;-1,0486158730321669;-0,26550030891965415;-0,6674048412861766;-0,444185268480577;1,0108441135739124;-1,5334708489977937;0,3773770934688972;-0,20042057137281077;709626436
0,7000000000000001;-0,8733533567666494;-0,4717190946900094;-1,0201299305142821;-0,07511494666395868;-0,7530555172718676;-0,3346748375529116;1,0408115136739071;-1,7244480281456978;0,37886117448950074;-0,12104190609615406;709626436
0,71;-0,8364504247453972;-0,3379558477035828;-1,0066000877751131;-0,06069993855729825;-0,6642317434768455;-0,4001008688799369;1,0254262883904093;-1,583696794154547;0,34956836646062833;-0,07168308671420803;709626436
