Tiempo;Trayectoria 1;Trayectoria 2;Trayectoria 3;Trayectoria 4;Trayectoria 5;Trayectoria 6;Trayectoria 7;Trayectoria 8;Trayectoria 9;Trayectoria 10;Semilla
0,27;-2,7112336408993105;1,268903182594363;-0,47740692058961776;2,081031710265627;1,6270763221095503;-0,20076639873105928;0,920737640588378;-1,9659879789728474;1,8832037821877885;0,2610956191381767;927364360
0,28;-2,4978554485013196;1,451964850375163;-0,2818900575915195;2,1444808473069688;1,8289939031427378;-0,7130650688804182;1,235762318764157;-2,010842330822307;1,7895380093799915;0,2338970021224701;927364360
0,29;-2,6476440856073977;2,0367924980038716;-0,2622234712785571;2,3732127443812443;1,8551730549265266;-0,6821233714642055;1,6333154221666932;-1,380472444394654;1,7504251666687398;0,5096842947426612;927364360
0,3;-2,870040601917425;2,103177845449824;-0,4344850318785778;2,3169576723053433;2,288574984290618;-0,41615524333528414;1,9452462800512897;-1,3741778298035008;1,6302538130878534;0,3687996774577526;927364360
0,31;-2,6436067437180455;1,8381602149422858;-0,3628704134475236;2,3256300263722496;2,232383441447502;-0,10211924972363878;1,9541821524315133;-2,064513561905187;1,2103714654784365;0,26002962972973503;927364360
0,32;-2,4293727294079615;1,8697982504393167;-0,3041100095812763;2,187008794430817;2,5346871396540815;0,1399598514490344;2,0510734736417886;-2,217240755952244;1,1925263989498311;0,2820617264497009;927364360
0,33;-1,8377158546967087;1,882098987942863;-0,4561462341907724;2,6510807292266705;2,942062909699655;0,36056129131203846;1,7234268542320095;-2,4319285779743116;0,5437227655454595;-0,44044228642089484;927364360
0,34;-1,5884466256131107;1,8885200113221219;-0,3702498597042386;2,1204254506615556;3,8838511862312686;0,5827246127445898;1,9679148877993313;-2,4626763381989045;0,6237077136740423;-0,724185331761948;927364360
0,35000000000000003;-1,5984107602464366;1,8620101671244236;-0,6668088664062004;2,095225243634942;4,096171663624523;-0,19812132751836986;1,7926598474315136;-2,32445087683215;0,3195678129915927;-0,34844569259106756;927364360
0,36;-1,7286661310839622;1,294625760616466;-1,2912936733392526;2,6629973087825656;4,059228577692747;0,08332049832722438;2,170702717270168;-2,151479472370645;1,0494947038841715;-0,6093564011010564;927364360
0,37;-1,359587223843921;0,754113481133293;-1,6617032492214125;2,839528520632877;4,188029449910235;-0,05832112489434502;1,7513728512103421;-1,555799450560849;1,3509504676757207;-1,3505753206723274;927364360
0,38;-1,799030290846682;0,23912427065098274;-2,069625670665438;2,722186237346071;4,27941809594959;0,01350538188024368;2,44850981003343;-1,8296405882793823;1,0748414961194013;-1,9561770553832518;927364360
0,39;-1,9929884528867672;0,1568385127269004;-2,1626949476305826;2,1665032232969637;4,42661282213567;0,2292628927499804;2,4217822357532706;-2,4348814282328717;0,8028808839642589;-2,129752510516939;927364360
0,4;-1,9814176058611375;0,15415667781753972;-2,0366233978860024;2,2393213025424403;5,002160981985036;0,17063732374416063;2,4981448463406566;-2,317751150039533;1,0117429378555676;-2,082240732835723;927364360
